dateTime,measureValue,unit,unitSymbol,deviceId,measureType
2020-04-28 17:43:54,1432,MegaWatts,MW,dev-1,Output
2020-04-28 17:45:58,1632,MegaWatts,MW,dev-1,Output
2020-04-28 17:43:29,1366,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:05,3273,Revolutions per Minute,RPM,dev-9,Rotation Speed
2020-04-29 15:55:26,1434,MegaWatts,MW,dev-2,Output
2020-04-28 17:38:15,1553,MegaWatts,MW,dev-1,Output
2020-04-28 17:43:55,3260,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:37:41,1587,MegaWatts,MW,dev-1,Output
2020-05-01 18:33:59,3208,Revolutions per Minute,RPM,dev-8,Rotation Speed
2020-05-01 18:33:58,1467,MegaWatts,MW,dev-5,Output
2020-04-29 16:01:04,2717,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:48,1564,MegaWatts,MW,dev-6,Output
2020-04-28 17:43:19,1516,MegaWatts,MW,dev-2,Output
2020-04-28 17:44:43,1472,MegaWatts,MW,dev-2,Output
2020-04-28 17:46:54,3041,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:10,2865,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:35:00,1635,MegaWatts,MW,dev-4,Output
2020-05-01 18:35:00,3007,Revolutions per Minute,RPM,dev-5,Rotation Speed
2020-04-28 17:45:06,1355,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:34,3193,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:37:42,1515,MegaWatts,MW,dev-2,Output
2020-04-28 17:47:07,2838,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:37:59,1529,MegaWatts,MW,dev-2,Output
2020-04-28 17:41:55,1418,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:59,2784,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-04-28 17:37:57,2776,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:54,2720,Revolutions per Minute,RPM,dev-9,Rotation Speed
2020-05-01 18:34:29,1436,MegaWatts,MW,dev-7,Output
2020-04-28 17:42:47,3176,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:33:54,2981,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-04-28 17:46:44,2945,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:41,1518,MegaWatts,MW,dev-7,Output
2020-04-28 17:38:11,4310,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:43:13,2907,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:45:50,2847,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:42:19,2768,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:37:45,1394,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:53,1621,MegaWatts,MW,dev-7,Output
2020-05-01 18:34:00,3205,Revolutions per Minute,RPM,dev-5,Rotation Speed
2020-05-01 18:34:18,1509,MegaWatts,MW,dev-9,Output
2020-04-28 17:43:33,3169,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:46:01,1442,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:45,2966,Revolutions per Minute,RPM,dev-4,Rotation Speed
2020-05-01 18:33:56,2774,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:45:00,2964,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:02,1543,MegaWatts,MW,dev-6,Output
2020-04-28 17:43:12,1465,MegaWatts,MW,dev-2,Output
2020-04-28 17:44:42,2809,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:37:49,1624,MegaWatts,MW,dev-1,Output
2020-05-01 18:33:50,1450,MegaWatts,MW,dev-6,Output
2020-05-01 18:34:39,3170,Revolutions per Minute,RPM,dev-3,Rotation Speed
2020-04-28 17:46:01,3037,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:52,3079,Revolutions per Minute,RPM,dev-3,Rotation Speed
2020-04-28 17:39:49,1499,MegaWatts,MW,dev-1,Output
2020-04-28 17:46:17,1646,MegaWatts,MW,dev-2,Output
2020-04-28 17:47:24,2711,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:43:07,2877,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:40:50,2889,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:47,2983,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:44:36,1637,MegaWatts,MW,dev-1,Output
2020-04-28 17:41:36,1638,MegaWatts,MW,dev-1,Output
2020-04-28 17:44:00,1424,MegaWatts,MW,dev-1,Output
2020-04-28 17:38:00,1470,MegaWatts,MW,dev-2,Output
2020-04-28 17:37:55,3005,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:38:38,1616,MegaWatts,MW,dev-1,Output
2020-04-28 17:37:56,1603,MegaWatts,MW,dev-2,Output
2020-04-28 17:40:41,2951,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:38:43,1511,MegaWatts,MW,dev-2,Output
2020-04-28 17:41:15,3081,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:06,2977,Revolutions per Minute,RPM,dev-9,Rotation Speed
2020-04-28 17:40:15,1565,MegaWatts,MW,dev-2,Output
2020-04-28 17:40:45,1528,MegaWatts,MW,dev-2,Output
2020-04-29 15:55:19,1453,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:10,1614,MegaWatts,MW,dev-6,Output
2020-04-28 17:42:26,1464,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:24,1541,MegaWatts,MW,dev-1,Output
2020-04-29 15:55:22,1623,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:05,1420,MegaWatts,MW,dev-4,Output
2020-05-01 18:34:07,1548,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:45,1569,MegaWatts,MW,dev-6,Output
2020-04-28 17:47:23,1620,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:05,1594,MegaWatts,MW,dev-8,Output
2020-05-01 18:34:10,3267,Revolutions per Minute,RPM,dev-5,Rotation Speed
2020-04-28 17:45:58,1460,MegaWatts,MW,dev-2,Output
2020-04-29 16:00:38,1388,MegaWatts,MW,dev-2,Output
2020-04-28 17:45:40,3008,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:39:19,1610,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:30,1409,MegaWatts,MW,dev-2,Output
2020-04-28 17:40:39,3042,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:44:07,3072,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-29 16:00:37,3187,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:45:35,1361,MegaWatts,MW,dev-1,Output
2020-04-28 17:38:24,3229,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:41:17,2921,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:38:24,1405,MegaWatts,MW,dev-1,Output
2020-04-28 17:46:38,1478,MegaWatts,MW,dev-1,Output
2020-04-29 16:00:35,3161,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:42,1353,MegaWatts,MW,dev-4,Output
2020-05-01 18:34:57,2815,Revolutions per Minute,RPM,dev-8,Rotation Speed
2020-04-28 17:40:18,3085,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:42:48,2823,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:42:27,3252,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:45:48,1492,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:31,3217,Revolutions per Minute,RPM,dev-5,Rotation Speed
2020-05-01 18:34:55,1507,MegaWatts,MW,dev-1,Output
2020-04-29 16:00:45,3151,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:47:22,3235,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:25,1626,MegaWatts,MW,dev-7,Output
2020-04-28 17:43:44,1427,MegaWatts,MW,dev-2,Output
2020-04-28 17:41:55,1447,MegaWatts,MW,dev-2,Output
2020-04-28 17:46:22,1538,MegaWatts,MW,dev-1,Output
2020-04-28 17:42:40,3291,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:37:22,1417,MegaWatts,MW,dev-2,Output
2020-04-28 17:41:48,1496,MegaWatts,MW,dev-1,Output
2020-04-28 17:42:16,2983,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:28,1389,MegaWatts,MW,dev-10,Output
2020-04-28 17:40:15,2903,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:46:58,3202,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:38:39,3297,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:39:09,3246,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:05,1635,MegaWatts,MW,dev-7,Output
2020-04-28 17:41:33,1476,MegaWatts,MW,dev-1,Output
2020-04-29 16:00:33,2742,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:14,2998,Revolutions per Minute,RPM,dev-6,Rotation Speed
2020-04-28 17:39:15,2741,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:42:01,1631,MegaWatts,MW,dev-1,Output
2020-04-28 17:37:19,1596,MegaWatts,MW,dev-1,Output
2020-04-28 17:41:08,3247,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:33:57,3300,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-05-01 18:33:50,3013,Revolutions per Minute,RPM,dev-3,Rotation Speed
2020-05-01 18:33:52,1631,MegaWatts,MW,dev-2,Output
2020-04-28 17:42:46,3144,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:42:31,1399,MegaWatts,MW,dev-2,Output
2020-04-28 17:43:58,1594,MegaWatts,MW,dev-2,Output
2020-04-28 17:44:54,1482,MegaWatts,MW,dev-1,Output
2020-04-29 15:55:19,3147,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:54,2874,Revolutions per Minute,RPM,dev-7,Rotation Speed
2020-05-01 18:34:01,2712,Revolutions per Minute,RPM,dev-7,Rotation Speed
2020-04-28 17:41:44,2708,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:49,4025,Revolutions per Minute,RPM,dev-9,Rotation Speed
2020-04-29 16:00:57,3292,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:23,2812,Revolutions per Minute,RPM,dev-6,Rotation Speed
2020-05-01 18:35:01,1591,MegaWatts,MW,dev-7,Output
2020-04-28 17:40:37,3118,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:01,1426,MegaWatts,MW,dev-9,Output
2020-04-28 17:42:02,1632,MegaWatts,MW,dev-1,Output
2020-04-28 17:46:36,3170,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:33:55,1435,MegaWatts,MW,dev-3,Output
2020-04-28 17:39:58,1491,MegaWatts,MW,dev-2,Output
2020-04-28 17:39:59,1510,MegaWatts,MW,dev-1,Output
2020-04-28 17:44:21,1483,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:47,1394,MegaWatts,MW,dev-7,Output
2020-04-28 17:39:05,1506,MegaWatts,MW,dev-2,Output
2020-04-28 17:45:44,1382,MegaWatts,MW,dev-2,Output
2020-04-28 17:40:01,3162,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:42:26,1636,MegaWatts,MW,dev-1,Output
2020-04-29 15:55:13,2824,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:53,2891,Revolutions per Minute,RPM,dev-6,Rotation Speed
2020-04-28 17:38:13,1388,MegaWatts,MW,dev-2,Output
2020-04-28 17:37:22,2780,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:10,2992,Revolutions per Minute,RPM,dev-4,Rotation Speed
2020-05-01 18:34:28,2961,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:42:43,2824,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:33,1380,MegaWatts,MW,dev-5,Output
2020-04-28 17:45:12,1649,MegaWatts,MW,dev-1,Output
2020-04-28 17:46:23,1366,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:56,2877,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:48,1600,MegaWatts,MW,dev-8,Output
2020-04-28 17:46:36,1450,MegaWatts,MW,dev-1,Output
2020-04-28 17:38:42,1363,MegaWatts,MW,dev-1,Output
2020-04-28 17:45:34,2971,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:37:47,2952,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:38:59,3224,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:39:28,1555,MegaWatts,MW,dev-1,Output
2020-04-29 16:00:52,1448,MegaWatts,MW,dev-1,Output
2020-04-28 17:40:19,3038,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:38:18,1622,MegaWatts,MW,dev-2,Output
2020-04-28 17:39:16,1535,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:20,3296,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-05-01 18:33:53,1359,MegaWatts,MW,dev-6,Output
2020-04-28 17:38:06,3147,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:59,2756,Revolutions per Minute,RPM,dev-8,Rotation Speed
2020-04-29 15:55:25,3205,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-29 16:00:54,2997,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:07,2866,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:31,1483,MegaWatts,MW,dev-8,Output
2020-04-28 17:39:21,1542,MegaWatts,MW,dev-1,Output
2020-04-28 17:40:17,3110,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:38:53,2740,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:43:22,1420,MegaWatts,MW,dev-1,Output
2020-04-28 17:37:59,3178,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:42:54,2992,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:42:34,1596,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:25,1383,MegaWatts,MW,dev-6,Output
2020-04-28 17:42:02,3224,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:33:54,3210,Revolutions per Minute,RPM,dev-4,Rotation Speed
2020-04-28 17:42:01,2825,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:42:42,1627,MegaWatts,MW,dev-1,Output
2020-04-28 17:46:49,1387,MegaWatts,MW,dev-1,Output
2020-04-28 17:39:04,2817,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:43:43,3072,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:43:56,1572,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:24,1477,MegaWatts,MW,dev-6,Output
2020-04-28 17:45:39,1384,MegaWatts,MW,dev-1,Output
2020-04-28 17:40:06,3240,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:44:56,1395,MegaWatts,MW,dev-1,Output
2020-04-28 17:42:00,1597,MegaWatts,MW,dev-2,Output
2020-04-29 15:55:16,2794,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:37,2859,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-04-28 17:37:36,1476,MegaWatts,MW,dev-1,Output
2020-04-28 17:39:26,1418,MegaWatts,MW,dev-2,Output
2020-04-28 17:42:31,3081,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:43:13,1578,MegaWatts,MW,dev-2,Output
2020-04-28 17:40:47,3181,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:40:02,1375,MegaWatts,MW,dev-2,Output
2020-04-28 17:40:15,2954,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:11,1534,MegaWatts,MW,dev-5,Output
2020-04-28 17:41:43,3118,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:42:14,1358,MegaWatts,MW,dev-1,Output
2020-04-29 16:00:43,1618,MegaWatts,MW,dev-1,Output
2020-04-28 17:37:29,2947,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:33:36,1642,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:51,1385,MegaWatts,MW,dev-9,Output
2020-05-01 18:34:16,1422,MegaWatts,MW,dev-7,Output
2020-04-28 17:45:06,1584,MegaWatts,MW,dev-2,Output
2020-04-28 17:41:53,1612,MegaWatts,MW,dev-1,Output
2020-05-01 18:33:58,1430,MegaWatts,MW,dev-7,Output
2020-04-28 17:45:05,1467,MegaWatts,MW,dev-1,Output
2020-04-28 17:46:21,2852,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:33:59,1553,MegaWatts,MW,dev-3,Output
2020-04-28 17:46:46,2761,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:42:03,3214,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:46:47,1461,MegaWatts,MW,dev-2,Output
2020-04-28 17:44:11,1497,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:30,3121,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-04-28 17:38:11,1011,MegaWatts,MW,dev-2,Output
2020-04-28 17:45:10,2953,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:45,2769,Revolutions per Minute,RPM,dev-5,Rotation Speed
2020-04-28 17:43:46,3251,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:43:15,1627,MegaWatts,MW,dev-2,Output
2020-04-28 17:37:33,1633,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:10,2734,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-05-01 18:34:31,2884,Revolutions per Minute,RPM,dev-8,Rotation Speed
2020-05-01 18:34:37,2871,Revolutions per Minute,RPM,dev-8,Rotation Speed
2020-04-28 17:43:44,2704,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:06,1646,MegaWatts,MW,dev-9,Output
2020-04-28 17:38:26,1425,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:58,1530,MegaWatts,MW,dev-6,Output
2020-04-28 17:38:06,2939,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:33:53,1646,MegaWatts,MW,dev-8,Output
2020-05-01 18:34:31,1410,MegaWatts,MW,dev-7,Output
2020-04-28 17:40:32,1356,MegaWatts,MW,dev-1,Output
2020-04-28 17:40:00,2826,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:43:32,1430,MegaWatts,MW,dev-1,Output
2020-04-28 17:42:24,1549,MegaWatts,MW,dev-2,Output
2020-04-28 17:44:06,3156,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:38:50,3280,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:46:31,1430,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:46,1644,MegaWatts,MW,dev-3,Output
2020-04-28 17:43:59,1587,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:13,1360,MegaWatts,MW,dev-8,Output
2020-04-28 17:44:11,2801,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:38:49,3044,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-05-01 18:34:13,1629,MegaWatts,MW,dev-9,Output
2020-04-29 16:00:10,1593,MegaWatts,MW,dev-1,Output
2020-04-28 17:41:34,2893,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:44:14,1585,MegaWatts,MW,dev-2,Output
2020-05-01 18:34:20,1577,MegaWatts,MW,dev-9,Output
2020-04-28 17:43:52,3087,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-05-01 18:34:35,1482,MegaWatts,MW,dev-10,Output
2020-05-01 18:34:36,3213,Revolutions per Minute,RPM,dev-7,Rotation Speed
2020-04-29 16:01:01,1622,MegaWatts,MW,dev-2,Output
2020-04-28 17:38:35,3277,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-29 16:00:32,2801,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:45:41,1468,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:07,2801,Revolutions per Minute,RPM,dev-8,Rotation Speed
2020-05-01 18:34:28,2852,Revolutions per Minute,RPM,dev-10,Rotation Speed
2020-04-28 17:47:11,3091,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:47:21,1497,MegaWatts,MW,dev-1,Output
2020-05-01 18:34:08,1375,MegaWatts,MW,dev-3,Output
2020-04-29 16:00:57,1643,MegaWatts,MW,dev-1,Output
2020-05-01 18:33:58,3088,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-29 16:00:19,1581,MegaWatts,MW,dev-2,Output
2020-04-28 17:44:52,2851,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:40:26,3170,Revolutions per Minute,RPM,dev-1,Rotation Speed
2020-04-28 17:36:59,2795,Revolutions per Minute,RPM,dev-2,Rotation Speed
2020-04-28 17:42:33,3200,Revolutions per Minute,RPM,dev-1,Rotation Speed
